org_name,ein
826DC ,262426166
AfterSchool AllStars ,954441208
Beacon House Community Ministry Inc,521773366
Capitol Movement Inc,352281200
CentroNia ,251689720
City Gate Inc,522272180
Common Threads ,200106847
Community Services Foundation ,452635513
Dance Place (DC Wheel Productions),521118504
DC Creative Writing Workshop ,522221613
DC Scores ,522230721
Field of Dreams ,522108599
"Fishing School, Inc.",521736536
"Friends of Fort Dupont Ice Arena, Inc.",521985982
Future Project ,274374555
Girls on the Run  DC,743218001
Growing Together Incorporated,521631340
Healthy Babies Project ,521711352
Hung Tao Choy Mei Leadership Institute ,113679500
Just Keep Livin Foundation, 203921057
Latin American Youth Center Inc,521023074
Life Pieces to Masterpieces ,522076894
Little Lights Urban Ministries ,522125232
Reading Partners ,770568469
Recreation Wish List Committee of Washington DC,521939752
Split This Rock Inc,264559492
Techbridge Girls,274162514
The Learning Tree Inc,262963674
Urban Alliance Foundation Inc,521938443
Washington Nationals Youth Baseball Academy ,453990897
Young Ladies of Tomorrow Inc,522203869
Youth Leadership Foundation Inc,522016259
Zenith Community Art Foundation,364385716
